,elections,happy,location_0,location_1,location_2,location_3,location_total,seg_agents,total_0,total_1,total_2,total_3,run,cnt
62,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",481,"[2, 9, 108, 12, 11, 87, 5, 6, 16]","[80, 45, 1, 8, 8, 3, 86, 8, 8]","[7, 7, 1, 12, 10, 7, 7, 50, 29]","[9, 17, 2, 16, 24, 2, 4, 35, 15]","[98, 78, 112, 48, 53, 99, 102, 99, 68]",325,256,247,130,124,1,UK
63,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",478,"[4, 14, 110, 12, 12, 86, 4, 6, 8]","[85, 40, 0, 6, 11, 4, 89, 4, 8]","[3, 7, 1, 17, 18, 4, 2, 51, 27]","[5, 7, 3, 20, 21, 10, 7, 31, 20]","[97, 68, 114, 55, 62, 104, 102, 92, 63]",334,256,247,130,124,1,UK
64,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",483,"[5, 9, 112, 15, 10, 84, 7, 2, 12]","[79, 46, 0, 11, 8, 1, 90, 5, 7]","[5, 8, 0, 17, 11, 7, 5, 48, 29]","[8, 13, 3, 20, 21, 5, 5, 35, 14]","[97, 76, 115, 63, 50, 97, 107, 90, 62]",339,256,247,130,124,1,UK
65,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",488,"[7, 11, 114, 12, 13, 86, 1, 5, 7]","[79, 40, 0, 7, 6, 5, 91, 10, 9]","[4, 7, 1, 11, 15, 5, 7, 49, 31]","[8, 14, 0, 16, 25, 10, 1, 33, 17]","[98, 72, 115, 46, 59, 106, 100, 97, 64]",344,256,247,130,124,1,UK
66,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",498,"[2, 10, 114, 12, 14, 87, 0, 6, 11]","[80, 40, 0, 10, 8, 2, 90, 5, 12]","[10, 9, 0, 14, 11, 7, 2, 45, 32]","[4, 16, 1, 18, 25, 4, 7, 35, 14]","[96, 75, 115, 54, 58, 100, 99, 91, 69]",352,256,247,130,124,1,UK
67,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",501,"[6, 11, 115, 11, 10, 88, 5, 4, 6]","[80, 38, 1, 7, 12, 5, 93, 4, 7]","[7, 10, 1, 15, 8, 1, 3, 50, 35]","[9, 13, 1, 17, 22, 5, 4, 32, 21]","[102, 72, 118, 50, 52, 99, 105, 90, 69]",342,256,247,130,124,1,UK
68,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",499,"[4, 3, 115, 16, 12, 87, 4, 4, 11]","[85, 43, 0, 10, 8, 2, 91, 3, 5]","[2, 15, 1, 15, 11, 5, 6, 48, 27]","[6, 15, 1, 14, 26, 9, 4, 36, 13]","[97, 76, 117, 55, 57, 103, 105, 91, 56]",345,256,247,130,124,1,UK
69,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",495,"[2, 14, 114, 10, 10, 87, 3, 7, 9]","[78, 41, 1, 13, 9, 1, 90, 5, 9]","[4, 7, 0, 11, 19, 8, 3, 46, 32]","[9, 12, 2, 18, 23, 1, 4, 37, 18]","[93, 74, 117, 52, 61, 97, 100, 95, 68]",346,256,247,130,124,1,UK
70,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",494,"[4, 10, 114, 14, 14, 88, 2, 3, 7]","[81, 42, 0, 10, 10, 3, 93, 4, 4]","[4, 7, 2, 13, 19, 4, 3, 46, 32]","[8, 13, 1, 21, 23, 5, 9, 32, 12]","[97, 72, 117, 58, 66, 100, 107, 85, 55]",340,256,247,130,124,1,UK
71,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",503,"[3, 11, 114, 12, 11, 92, 0, 4, 9]","[79, 45, 0, 9, 13, 1, 93, 5, 2]","[5, 7, 0, 15, 11, 4, 3, 47, 38]","[8, 11, 0, 16, 27, 2, 4, 36, 20]","[95, 74, 114, 52, 62, 99, 100, 92, 69]",384,256,247,130,124,1,UK
